Date,restaurant,delivery,isPartial,Time
2020-01-07,48,23,False,02:00:00
2020-01-07,45,25,False,03:00:00
2020-01-07,42,23,False,04:00:00
2020-01-07,36,18,False,05:00:00
2020-01-07,35,15,False,06:00:00
2020-01-07,37,13,False,07:00:00
2020-01-07,40,12,False,08:00:00
2020-01-07,44,13,False,09:00:00
2020-01-07,49,13,False,10:00:00
2020-01-07,46,12,False,11:00:00
2020-01-07,42,12,False,12:00:00
2020-01-07,40,12,False,13:00:00
2020-01-07,42,13,False,14:00:00
2020-01-07,47,14,False,15:00:00
2020-01-07,55,15,False,16:00:00
2020-01-07,60,16,False,17:00:00
2020-01-07,61,16,False,18:00:00
2020-01-07,57,15,False,19:00:00
2020-01-07,55,15,False,20:00:00
2020-01-07,57,17,False,21:00:00
2020-01-07,59,20,False,22:00:00
2020-01-07,60,23,False,23:00:00
2020-01-08,54,22,False,00:00:00
2020-01-08,56,23,False,00:00:00
2020-01-08,49,22,False,01:00:00
2020-01-08,51,21,False,02:00:00
2020-01-08,44,19,False,03:00:00
2020-01-08,41,20,False,04:00:00
2020-01-08,38,17,False,05:00:00
2020-01-08,36,16,False,06:00:00
2020-01-08,38,14,False,07:00:00
2020-01-08,41,13,False,08:00:00
2020-01-08,45,13,False,09:00:00
2020-01-08,50,13,False,10:00:00
2020-01-08,48,12,False,11:00:00
2020-01-08,44,12,False,12:00:00
2020-01-08,42,13,False,13:00:00
2020-01-08,45,14,False,14:00:00
2020-01-08,52,14,False,15:00:00
2020-01-08,59,17,False,16:00:00
2020-01-08,66,17,False,17:00:00
2020-01-08,65,17,False,18:00:00
2020-01-08,60,16,False,19:00:00
2020-01-08,60,16,False,20:00:00
2020-01-08,64,18,False,21:00:00
2020-01-08,65,21,False,22:00:00
2020-01-08,66,24,False,23:00:00
2020-01-09,61,25,False,00:00:00
2020-01-09,56,23,False,01:00:00
2020-01-09,50,21,False,02:00:00
2020-01-09,45,21,False,03:00:00
2020-01-09,40,18,False,04:00:00
2020-01-09,37,18,False,05:00:00
2020-01-09,37,16,False,06:00:00
2020-01-09,40,16,False,07:00:00
2020-01-09,43,13,False,08:00:00
2020-01-09,48,13,False,09:00:00
2020-01-09,53,13,False,10:00:00
2020-01-09,50,12,False,11:00:00
2020-01-09,45,12,False,12:00:00
2020-01-09,44,13,False,13:00:00
2020-01-09,47,13,False,14:00:00
2020-01-09,54,15,False,15:00:00
2020-01-09,62,17,False,16:00:00
2020-01-09,69,17,False,17:00:00
2020-01-09,68,17,False,18:00:00
2020-01-09,64,16,False,19:00:00
2020-01-09,64,16,False,20:00:00
2020-01-09,67,18,False,21:00:00
2020-01-09,70,21,False,22:00:00
2020-01-09,72,25,False,23:00:00
2020-01-10,66,25,False,00:00:00
2020-01-10,59,23,False,01:00:00
2020-01-10,55,21,False,02:00:00
2020-01-10,49,20,False,03:00:00
2020-01-10,43,19,False,04:00:00
2020-01-10,41,18,False,05:00:00
2020-01-10,40,17,False,06:00:00
2020-01-10,44,15,False,07:00:00
2020-01-10,47,14,False,08:00:00
2020-01-10,51,13,False,09:00:00
2020-01-10,57,14,False,10:00:00
2020-01-10,55,13,False,11:00:00
2020-01-10,50,14,False,12:00:00
2020-01-10,50,14,False,13:00:00
2020-01-10,52,14,False,14:00:00
2020-01-10,60,15,False,15:00:00
2020-01-10,72,17,False,16:00:00
2020-01-10,83,18,False,17:00:00
2020-01-10,82,18,False,18:00:00
2020-01-10,75,17,False,19:00:00
2020-01-10,72,17,False,20:00:00
2020-01-10,77,19,False,21:00:00
2020-01-10,88,24,False,22:00:00
2020-01-10,89,28,False,23:00:00
2020-01-11,82,29,False,00:00:00
2020-01-11,71,27,False,01:00:00
2020-01-11,64,25,False,02:00:00
2020-01-11,55,23,False,03:00:00
2020-01-11,48,21,False,04:00:00
2020-01-11,44,19,False,05:00:00
2020-01-11,45,18,False,06:00:00
2020-01-11,47,16,False,07:00:00
2020-01-11,52,16,False,08:00:00
2020-01-11,56,15,False,09:00:00
2020-01-11,63,14,False,10:00:00
2020-01-11,67,13,False,11:00:00
2020-01-11,63,13,False,12:00:00
2020-01-11,61,14,False,13:00:00
2020-01-11,65,14,False,14:00:00
2020-01-11,74,15,False,15:00:00
2020-01-11,89,17,False,16:00:00
2020-01-11,100,19,False,17:00:00
2020-01-11,97,19,False,18:00:00
2020-01-11,89,19,False,19:00:00
2020-01-11,83,19,False,20:00:00
2020-01-11,85,21,False,21:00:00
2020-01-11,93,28,False,22:00:00
2020-01-11,94,33,False,23:00:00
2020-01-12,84,32,False,00:00:00
2020-01-12,76,29,False,01:00:00
2020-01-12,69,29,False,02:00:00
2020-01-12,59,27,False,03:00:00
2020-01-12,48,22,False,04:00:00
2020-01-12,45,19,False,05:00:00
2020-01-12,44,19,False,06:00:00
2020-01-12,47,17,False,07:00:00
2020-01-12,52,14,False,08:00:00
2020-01-12,57,13,False,09:00:00
2020-01-12,63,13,False,10:00:00
2020-01-12,63,13,False,11:00:00
2020-01-12,59,13,False,12:00:00
2020-01-12,60,13,False,13:00:00
2020-01-12,61,14,False,14:00:00
2020-01-12,68,15,False,15:00:00
2020-01-12,75,17,False,16:00:00
2020-01-12,79,18,False,17:00:00
2020-01-12,76,18,False,18:00:00
2020-01-12,73,18,False,19:00:00
2020-01-12,68,21,False,20:00:00
2020-01-12,70,21,False,21:00:00
