Date,Coronavirus,covid-19,isPartial,Time
2020-01-07,74,0,False,02:00:00
2020-01-07,89,0,False,03:00:00
2020-01-07,67,0,False,04:00:00
2020-01-07,64,0,False,05:00:00
2020-01-07,44,0,False,06:00:00
2020-01-07,53,0,False,07:00:00
2020-01-07,51,0,False,08:00:00
2020-01-07,38,0,False,09:00:00
2020-01-07,50,0,False,10:00:00
2020-01-07,40,0,False,11:00:00
2020-01-07,44,0,False,12:00:00
2020-01-07,54,0,False,13:00:00
2020-01-07,52,0,False,14:00:00
2020-01-07,56,0,False,15:00:00
2020-01-07,77,0,False,16:00:00
2020-01-07,64,0,False,17:00:00
2020-01-07,60,0,False,18:00:00
2020-01-07,56,0,False,19:00:00
2020-01-07,61,0,False,20:00:00
2020-01-07,60,0,False,21:00:00
2020-01-07,65,0,False,22:00:00
2020-01-07,85,0,False,23:00:00
2020-01-08,72,0,False,00:00:00
2020-01-08,14,0,False,00:00:00
2020-01-08,13,0,False,01:00:00
2020-01-08,13,0,False,02:00:00
2020-01-08,12,0,False,03:00:00
2020-01-08,11,0,False,04:00:00
2020-01-08,11,0,False,05:00:00
2020-01-08,8,0,False,06:00:00
2020-01-08,10,0,False,07:00:00
2020-01-08,9,0,False,08:00:00
2020-01-08,6,0,False,09:00:00
2020-01-08,7,0,False,10:00:00
2020-01-08,6,0,False,11:00:00
2020-01-08,9,0,False,12:00:00
2020-01-08,10,0,False,13:00:00
2020-01-08,15,0,False,14:00:00
2020-01-08,16,0,False,15:00:00
2020-01-08,20,0,False,16:00:00
2020-01-08,21,0,False,17:00:00
2020-01-08,19,0,False,18:00:00
2020-01-08,20,0,False,19:00:00
2020-01-08,22,0,False,20:00:00
2020-01-08,22,0,False,21:00:00
2020-01-08,20,0,False,22:00:00
2020-01-08,22,0,False,23:00:00
2020-01-09,42,0,False,00:00:00
2020-01-09,45,0,False,01:00:00
2020-01-09,54,0,False,02:00:00
2020-01-09,59,0,False,03:00:00
2020-01-09,56,0,False,04:00:00
2020-01-09,54,0,False,05:00:00
2020-01-09,55,0,False,06:00:00
2020-01-09,46,0,False,07:00:00
2020-01-09,50,0,False,08:00:00
2020-01-09,54,0,False,09:00:00
2020-01-09,60,0,False,10:00:00
2020-01-09,61,0,False,11:00:00
2020-01-09,76,0,False,12:00:00
2020-01-09,75,0,False,13:00:00
2020-01-09,75,0,False,14:00:00
2020-01-09,71,0,False,15:00:00
2020-01-09,64,0,False,16:00:00
2020-01-09,57,0,False,17:00:00
2020-01-09,57,0,False,18:00:00
2020-01-09,55,0,False,19:00:00
2020-01-09,49,0,False,20:00:00
2020-01-09,48,0,False,21:00:00
2020-01-09,54,0,False,22:00:00
2020-01-09,67,0,False,23:00:00
2020-01-10,65,0,False,00:00:00
2020-01-10,54,0,False,01:00:00
2020-01-10,55,0,False,02:00:00
2020-01-10,51,0,False,03:00:00
2020-01-10,43,0,False,04:00:00
2020-01-10,40,0,False,05:00:00
2020-01-10,44,0,False,06:00:00
2020-01-10,41,0,False,07:00:00
2020-01-10,41,0,False,08:00:00
2020-01-10,34,0,False,09:00:00
2020-01-10,78,0,False,10:00:00
2020-01-10,37,0,False,11:00:00
2020-01-10,36,0,False,12:00:00
2020-01-10,36,0,False,13:00:00
2020-01-10,34,0,False,14:00:00
2020-01-10,30,0,False,15:00:00
2020-01-10,32,0,False,16:00:00
2020-01-10,30,0,False,17:00:00
2020-01-10,28,0,False,18:00:00
2020-01-10,27,0,False,19:00:00
2020-01-10,28,0,False,20:00:00
2020-01-10,29,0,False,21:00:00
2020-01-10,31,0,False,22:00:00
2020-01-10,37,0,False,23:00:00
2020-01-11,33,0,False,00:00:00
2020-01-11,39,0,False,01:00:00
2020-01-11,48,0,False,02:00:00
2020-01-11,67,0,False,03:00:00
2020-01-11,91,0,False,04:00:00
2020-01-11,84,0,False,05:00:00
2020-01-11,75,0,False,06:00:00
2020-01-11,76,0,False,07:00:00
2020-01-11,73,0,False,08:00:00
2020-01-11,68,0,False,09:00:00
2020-01-11,100,0,False,10:00:00
2020-01-11,75,0,False,11:00:00
2020-01-11,83,0,False,12:00:00
2020-01-11,73,0,False,13:00:00
2020-01-11,81,0,False,14:00:00
2020-01-11,88,0,False,15:00:00
2020-01-11,83,0,False,16:00:00
2020-01-11,76,0,False,17:00:00
2020-01-11,72,0,False,18:00:00
2020-01-11,64,0,False,19:00:00
2020-01-11,46,0,False,20:00:00
2020-01-11,45,0,False,21:00:00
2020-01-11,50,0,False,22:00:00
2020-01-11,53,0,False,23:00:00
2020-01-12,38,0,False,00:00:00
2020-01-12,44,0,False,01:00:00
2020-01-12,57,0,False,02:00:00
